iter	Passed	Remaining
0	1	1216
1	2	1114
2	3	1142
3	4	1191
4	5	1158
5	6	1134
6	7	1114
7	8	1092
8	10	1111
9	11	1118
10	12	1110
11	13	1099
12	14	1090
13	15	1078
14	16	1101
15	18	1140
16	19	1149
17	21	1145
18	22	1149
19	23	1144
20	24	1139
21	25	1135
22	26	1145
23	30	1227
24	31	1246
25	33	1251
26	34	1258
27	36	1260
28	37	1260
29	38	1253
30	39	1242
31	41	1251
32	43	1264
33	44	1260
34	45	1248
35	46	1236
36	47	1241
37	48	1237
38	50	1233
39	51	1224
40	51	1214
41	53	1214
42	54	1210
43	55	1204
44	56	1199
45	57	1199
46	58	1191
47	60	1195
48	61	1187
49	62	1179
50	63	1173
51	64	1167
52	65	1166
53	66	1165
54	67	1160
55	68	1154
56	69	1148
57	70	1142
58	71	1141
59	73	1145
60	74	1143
61	75	1138
62	76	1133
63	77	1132
64	79	1150
65	81	1147
66	82	1141
67	83	1138
68	84	1139
69	85	1135
70	86	1129
71	87	1126
72	88	1121
73	89	1116
74	90	1114
75	91	1110
76	92	1105
77	93	1100
78	93	1095
79	94	1089
80	95	1084
81	96	1081
82	97	1072
83	98	1068
84	98	1064
85	99	1059
86	100	1054
87	101	1050
88	102	1046
89	103	1043
90	104	1039
91	104	1035
92	105	1031
93	106	1028
94	107	1024
95	108	1021
96	109	1018
97	110	1014
98	110	1009
99	111	1006
100	112	1002
101	113	998
102	114	995
103	115	992
104	115	988
105	116	985
106	117	981
107	118	978
108	119	974
109	120	971
110	121	969
111	121	966
112	122	963
113	123	959
114	124	956
115	125	953
116	125	948
117	126	946
118	127	944
119	128	942
120	129	939
121	129	935
122	130	932
123	131	930
124	132	927
125	133	926
126	134	922
127	135	920
128	135	917
129	136	914
130	137	911
131	138	909
132	139	907
133	140	905
134	141	903
135	141	901
136	142	899
137	143	896
138	144	894
139	146	897
140	146	895
141	147	892
142	148	890
143	149	888
144	150	885
145	151	883
146	152	882
147	152	880
148	153	878
149	154	876
150	155	875
151	156	873
152	158	876
153	159	875
154	160	873
155	161	872
156	162	870
157	163	869
158	164	871
159	165	869
160	166	866
161	167	864
162	167	862
163	168	860
164	169	858
165	171	859
166	172	857
167	172	856
168	173	854
169	174	853
170	175	851
171	176	851
172	177	850
173	178	848
174	179	846
175	180	845
176	181	843
177	182	841
178	183	840
179	184	839
180	185	837
181	185	835
182	186	833
183	187	832
184	188	831
185	189	829
186	190	827
187	191	825
188	191	823
189	192	821
190	193	819
191	194	819
192	195	818
193	196	816
194	197	814
195	198	812
196	198	810
197	199	809
198	200	808
199	201	806
200	202	804
201	203	802
202	204	801
203	204	799
204	205	797
205	206	795
206	207	794
207	208	792
208	208	790
209	209	789
210	210	787
211	211	785
212	212	783
213	213	782
214	213	780
215	214	779
216	215	777
217	216	776
218	217	774
219	217	772
220	218	770
221	219	769
222	220	767
223	221	765
224	221	764
225	222	762
226	223	760
227	224	759
228	225	757
229	225	756
230	226	754
231	227	753
232	228	751
233	229	750
234	229	748
235	230	746
236	231	745
237	232	743
238	233	742
239	233	740
240	234	738
241	235	737
242	236	735
243	236	734
244	237	732
245	238	731
246	239	730
247	240	728
248	241	727
249	241	725
250	242	724
251	243	723
252	244	721
253	245	720
254	246	718
255	246	717
256	247	715
257	248	714
258	249	713
259	250	711
260	250	710
261	251	709
262	252	707
263	253	706
264	254	704
265	254	703
266	255	701
267	256	700
268	257	699
269	258	697
270	258	696
271	259	695
272	260	693
273	261	692
274	262	690
275	262	689
276	263	688
277	264	686
278	265	685
279	266	684
280	266	683
281	267	681
282	268	680
283	269	679
284	270	678
285	271	676
286	271	675
287	272	673
288	273	672
289	274	671
290	275	670
291	275	669
292	276	667
293	277	666
294	278	665
295	279	664
296	280	662
297	280	661
298	281	660
299	282	659
300	283	658
301	284	657
302	285	655
303	285	654
304	286	653
305	287	652
306	288	651
307	289	649
308	290	648
309	290	647
310	291	646
311	292	644
312	293	643
313	294	642
314	295	641
315	295	640
316	296	639
317	297	637
318	298	636
319	298	635
320	299	634
321	300	633
322	301	632
323	302	630
324	303	629
325	304	628
326	304	627
327	305	626
328	306	625
329	307	624
330	308	623
331	309	622
332	310	621
333	310	619
334	311	618
335	312	617
336	313	616
337	314	615
338	315	614
339	315	613
340	316	611
341	317	610
342	318	609
343	319	608
344	320	607
345	320	606
346	321	605
347	322	604
348	323	602
349	324	601
350	324	600
351	325	599
352	326	598
353	327	597
354	327	595
355	328	594
356	329	593
357	330	592
358	331	591
359	332	590
360	332	589
361	333	588
362	334	587
363	335	585
364	336	585
365	337	583
366	337	582
367	338	581
368	339	580
369	340	579
370	341	578
371	341	577
372	342	576
373	343	575
374	344	574
375	345	572
376	345	571
377	346	570
378	347	569
379	348	568
380	349	567
381	350	566
382	350	565
383	351	564
384	352	563
385	353	561
386	354	560
387	354	559
388	355	558
389	356	557
390	357	556
391	358	555
392	358	554
393	359	553
394	360	552
395	361	551
396	362	550
397	363	549
398	363	547
399	364	546
400	365	545
401	366	544
402	367	543
403	367	542
404	368	541
405	369	540
406	370	539
407	370	538
408	371	537
409	372	536
410	373	535
411	374	534
412	375	533
413	376	532
414	376	531
415	377	530
416	378	529
417	379	528
418	380	527
419	380	526
420	381	524
421	382	523
422	383	522
423	384	521
424	384	520
425	385	519
426	386	518
427	387	517
428	388	516
429	388	515
430	389	514
431	390	513
432	391	512
433	392	511
434	392	510
435	393	509
436	394	508
437	395	507
438	396	506
439	396	505
440	397	504
441	398	503
442	399	502
443	400	501
444	400	500
445	401	499
446	402	498
447	403	497
448	404	496
449	405	495
450	405	494
451	406	493
452	407	491
453	408	490
454	408	489
455	409	489
456	410	488
457	411	487
458	412	486
459	413	484
460	413	483
461	414	482
462	415	481
463	416	480
464	417	480
465	417	478
466	418	477
467	419	476
468	420	475
469	421	474
470	421	473
471	422	472
472	423	471
473	424	470
474	425	469
475	425	468
476	426	467
477	427	466
478	428	465
479	429	464
480	429	463
481	430	462
482	431	461
483	432	460
484	433	459
485	433	458
486	434	458
487	435	457
488	436	456
489	437	455
490	438	454
491	439	453
492	439	452
493	440	451
494	441	450
495	442	449
496	443	448
497	444	447
498	444	446
499	445	445
500	446	444
501	447	443
502	448	442
503	448	441
504	449	440
505	450	439
506	451	438
507	452	437
508	453	436
509	453	436
510	454	435
511	455	434
512	456	433
513	456	432
514	457	431
515	458	430
516	459	429
517	460	428
518	461	427
519	461	426
520	462	425
521	463	424
522	464	423
523	465	422
524	466	421
525	466	420
526	467	419
527	468	418
528	469	417
529	470	416
530	470	415
531	471	414
532	472	413
533	473	412
534	474	412
535	474	411
536	475	410
537	476	409
538	477	408
539	478	407
540	478	406
541	479	405
542	480	404
543	481	403
544	481	402
545	482	401
546	483	400
547	484	399
548	485	398
549	486	397
550	486	396
551	487	395
552	488	394
553	489	393
554	490	393
555	490	392
556	491	391
557	492	390
558	493	389
559	494	388
560	494	387
561	495	386
562	496	385
563	497	384
564	498	383
565	499	382
566	499	381
567	500	380
568	501	379
569	502	379
570	503	378
571	504	377
572	504	376
573	505	375
574	506	374
575	507	373
576	508	372
577	508	371
578	509	370
579	510	369
580	511	368
581	512	367
582	513	366
583	513	366
584	514	365
585	515	364
586	516	363
587	517	362
588	517	361
589	518	360
590	519	359
591	520	358
592	521	357
593	522	356
594	523	356
595	523	355
596	524	354
597	525	353
598	526	352
599	527	351
600	527	350
601	528	349
602	529	348
603	530	347
604	531	346
605	531	345
606	532	344
607	533	344
608	534	343
609	535	342
610	535	341
611	536	340
612	537	339
613	538	338
614	539	337
615	540	336
616	540	335
617	541	334
618	542	333
619	543	333
620	544	332
621	544	331
622	545	330
623	546	329
624	547	328
625	548	327
626	548	326
627	549	325
628	550	324
629	551	323
630	552	322
631	553	322
632	553	321
633	554	320
634	555	319
635	556	318
636	556	317
637	557	316
638	558	315
639	559	314
640	560	313
641	561	312
642	561	311
643	562	310
644	563	310
645	564	309
646	565	308
647	565	307
648	566	306
649	567	305
650	568	304
651	569	303
652	569	302
653	570	301
654	571	301
655	572	300
656	573	299
657	573	298
658	574	297
659	575	296
660	576	295
661	577	294
662	578	293
663	578	292
664	579	292
665	580	291
666	581	290
667	582	289
668	583	288
669	583	287
670	584	286
671	585	285
672	586	284
673	587	283
674	587	283
675	588	282
676	589	281
677	590	280
678	591	279
679	591	278
680	592	277
681	593	276
682	594	275
683	595	275
684	596	274
685	597	273
686	598	272
687	598	271
688	599	270
689	600	269
690	601	269
691	602	268
692	603	267
693	604	266
694	605	265
695	606	264
696	607	264
697	608	263
698	609	262
699	609	261
700	610	260
701	611	259
702	612	258
703	613	258
704	614	257
705	615	256
706	616	255
707	617	254
708	618	253
709	618	252
710	619	251
711	620	251
712	621	250
713	622	249
714	623	248
715	623	247
716	624	246
717	625	245
718	626	244
719	627	243
720	628	243
721	628	242
722	629	241
723	630	240
724	631	239
725	632	238
726	633	237
727	634	236
728	634	235
729	635	235
730	636	234
731	637	233
732	638	232
733	638	231
734	639	230
735	640	229
736	641	228
737	642	227
738	643	227
739	643	226
740	644	225
741	645	224
742	646	223
743	647	222
744	647	221
745	648	220
746	649	219
747	650	219
748	651	218
749	652	217
750	652	216
751	653	215
752	654	214
753	655	213
754	656	212
755	657	212
756	658	211
757	658	210
758	659	209
759	660	208
760	661	207
761	662	207
762	663	206
763	664	205
764	665	204
765	666	203
766	667	202
767	668	201
768	669	201
769	670	200
770	670	199
771	671	198
772	672	197
773	673	196
774	674	195
775	675	194
776	676	194
777	677	193
778	678	192
779	678	191
780	679	190
781	680	189
782	681	188
783	682	187
784	683	187
785	683	186
786	684	185
787	685	184
788	686	183
789	687	182
790	688	181
791	688	180
792	689	180
793	690	179
794	691	178
795	692	177
796	693	176
797	694	175
798	694	174
799	695	173
800	696	173
801	697	172
802	698	171
803	699	170
804	699	169
805	700	168
806	701	167
807	702	166
808	703	166
809	704	165
810	705	164
811	706	163
812	706	162
813	707	161
814	708	160
815	709	159
816	710	159
817	711	158
818	711	157
819	712	156
820	713	155
821	714	154
822	715	153
823	715	152
824	716	152
825	717	151
826	718	150
827	719	149
828	720	148
829	721	147
830	721	146
831	722	145
832	723	145
833	724	144
834	725	143
835	726	142
836	726	141
837	727	140
838	728	139
839	729	138
840	730	138
841	730	137
842	731	136
843	732	135
844	733	134
845	734	133
846	734	132
847	735	131
848	736	131
849	737	130
850	738	129
851	739	128
852	739	127
853	740	126
854	741	125
855	742	124
856	743	123
857	743	123
858	744	122
859	745	121
860	746	120
861	747	119
862	748	118
863	749	117
864	749	117
865	750	116
866	751	115
867	752	114
868	753	113
869	753	112
870	754	111
871	755	110
872	756	110
873	757	109
874	758	108
875	758	107
876	759	106
877	760	105
878	761	104
879	762	103
880	763	103
881	763	102
882	764	101
883	765	100
884	766	99
885	767	98
886	767	97
887	768	96
888	769	96
889	770	95
890	771	94
891	772	93
892	773	92
893	773	91
894	774	90
895	775	90
896	776	89
897	777	88
898	778	87
899	779	86
900	780	85
901	781	84
902	782	84
903	782	83
904	783	82
905	784	81
906	785	80
907	786	79
908	787	78
909	787	77
910	788	77
911	789	76
912	790	75
913	791	74
914	792	73
915	793	72
916	793	71
917	794	70
918	795	70
919	796	69
920	797	68
921	798	67
922	798	66
923	799	65
924	800	64
925	801	64
926	802	63
927	803	62
928	804	61
929	804	60
930	805	59
931	806	58
932	807	57
933	808	57
934	808	56
935	809	55
936	810	54
937	811	53
938	812	52
939	813	51
940	813	51
941	814	50
942	815	49
943	816	48
944	817	47
945	817	46
946	818	45
947	819	44
948	820	44
949	821	43
950	822	42
951	822	41
952	823	40
953	824	39
954	825	38
955	826	38
956	826	37
957	832	36
958	833	35
959	834	34
960	835	33
961	836	33
962	837	32
963	837	31
964	838	30
965	839	29
966	840	28
967	841	27
968	841	26
969	842	26
970	843	25
971	844	24
972	845	23
973	846	22
974	846	21
975	847	20
976	848	19
977	849	19
978	850	18
979	851	17
980	852	16
981	853	15
982	854	14
983	854	13
984	855	13
985	856	12
986	857	11
987	858	10
988	858	9
989	859	8
990	860	7
991	861	6
992	862	6
993	863	5
994	863	4
995	864	3
996	865	2
997	866	1
998	867	0
999	867	0
